ts,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,FL_x,FL_y,FL_z,FR_x,FR_y,FR_z,BL_x,BL_y,BL_z,BR_x,BR_y,BR_z,FL_contact,FR_contact,BL_contact,BR_contact,gt_pos_x,gt_pos_y,gt_pos_z,gt_rot_w,gt_rot_x,gt_rot_y,gt_rot_z,state_est_rot_w,state_est_rot_x,state_est_rot_y,state_est_rot_z,state_est_pos_x,state_est_pos_y,state_est_pos_z
1747821628.36263,1.684320927,0.29568392,9.734824181,0.207726538,0.034088459,-0.057524271,0.282473451,0.165189003,-0.303952648,0.162767958,-0.159324946,-0.314550226,-0.201806183,0.163757684,-0.313684684,-0.084637714,-0.174011593,-0.287081928,0,1,1,0,4998.931640625,42.980743408,297.098968506,0.333546698,0.010494821,-0.013642272,0.942576468,-0.115127182,0.00236861,-0.002976759,0.993343476,-1.656729739,0.184898316,0.227077465
1747821628.3708,0.978031397,0.863109708,10.409989357,0.085221142,0.059654802,-0.045806367,0.276639095,0.167494883,-0.306953964,0.159123722,-0.159581446,-0.313668251,-0.205258429,0.163426892,-0.312821671,-0.08888862,-0.174950242,-0.291039371,0,1,1,0,4995.120605469,45.906826019,296.184875488,0.333575547,0.0105807,-0.01247491,0.942581415,-0.114955874,0.002118686,-0.002424851,0.99336538,-1.659821763,0.184304357,0.226399622
1747821628.37906,0.81761986,2.260126352,10.466252327,-0.043675836,0.119309604,0.012783172,0.263825926,0.16517229,-0.316387247,0.154801415,-0.160191888,-0.311685842,-0.210148891,0.1635106,-0.312055613,-0.100323712,-0.17051775,-0.303759304,1,1,1,0,4991.247558594,48.816806793,295.277069092,0.333874464,0.010453169,-0.012020609,0.942482948,-0.114807136,0.001644686,-0.002458242,0.993383397,-1.664537235,0.183006673,0.224934578
1747821628.39598,-3.823540211,4.6842556,25.128343582,-0.085221142,0.061785329,-0.145941213,0.252875046,0.164465625,-0.324441369,0.1494323,-0.15880772,-0.310704845,-0.217396871,0.16355127,-0.310755516,-0.10886512,-0.171062184,-0.313026231,1,1,1,1,4987.299316406,51.738117218,294.365661621,0.333813012,0.009729861,-0.012035567,0.942512274,-0.114886102,0.001957922,-0.002556619,0.993373451,-1.668782184,0.181880978,0.227442141
1747821628.39968,-3.823540211,4.6842556,25.128343582,-0.118244343,-0.035153721,-0.182160199,0.250110808,0.164730802,-0.323892817,0.147689615,-0.158004766,-0.310792028,-0.218819781,0.163126512,-0.310697715,-0.110485605,-0.171839768,-0.312423901,1,1,1,1,4983.425292969,54.889709473,293.949157715,0.333598137,0.009488365,-0.012204543,0.942588627,-0.114521368,0.001932104,-0.002695155,0.99341525,-1.670987797,0.1814482,0.226846203
1747821628.40383,-2.582146645,2.273294449,26.144681931,-0.092677996,0.132092774,-0.167246491,0.249555529,0.164844516,-0.322676554,0.146698535,-0.157156055,-0.311241272,-0.220854228,0.16281165,-0.310424067,-0.112320614,-0.172745702,-0.311683984,1,1,1,1,4979.614257813,57.719844818,294.592102051,0.333906204,0.009896132,-0.012028953,0.942477584,-0.114214212,0.001964795,-0.002867851,0.993450064,-1.671771252,0.181066349,0.22596687
1747821628.41255,-2.103306293,-0.472854823,11.79024601,-0.061785329,0.125701189,-0.231162354,0.246128869,0.164628528,-0.322059241,0.143733392,-0.155499733,-0.312898824,-0.223938111,0.161769521,-0.311073128,-0.115273745,-0.173249288,-0.311053752,1,1,1,1,4975.956542969,60.51291275,296.005645752,0.334587395,0.00930247,-0.012493833,0.942236006,-0.113360371,0.001407358,-0.003304119,0.993547446,-1.674401369,0.180227793,0.225483503
1747821628.42055,-2.166752577,-0.037110128,9.392453194,-0.001065264,0.127831712,-0.276968718,0.242971715,0.163323319,-0.322729229,0.139923874,-0.155595089,-0.314656717,-0.226450549,0.160835531,-0.31211725,-0.119057687,-0.172045252,-0.312574895,1,1,0,1,4972.486328125,63.239185333,297.753326416,0.335473001,0.008685309,-0.012474762,0.941927195,-0.112304601,0.000920994,-0.00343779,0.993667454,-1.678052595,0.1788187,0.226612865
1747821628.42964,-0.884657502,1.07739079,6.906075001,0.18109493,0.090547465,-0.271642387,0.239119258,0.162434857,-0.324126698,0.136863135,-0.158423239,-0.313606175,-0.229278697,0.162727528,-0.311192489,-0.124672465,-0.169901658,-0.315400124,1,1,0,1,4969.046875,65.939125061,299.426330566,0.336345226,0.008310135,-0.012330927,0.941621363,-0.111006712,0.00037914,-0.00338891,0.993813806,-1.68161246,0.177235376,0.227988365
1747821628.43699,-1.381454349,0.290895492,2.578555346,-0.100134842,-0.132092774,-0.112918019,0.235985079,0.161628826,-0.325300636,0.136330046,-0.161319084,-0.311957837,-0.229290214,0.164375705,-0.309732287,-0.127975544,-0.168589326,-0.317028321,1,0,0,1,4965.682128906,68.63735199,300.810241699,0.337073892,0.007713527,-0.012488321,0.941363752,-0.110412693,0.000387379,-0.002999497,0.993881225,-1.684304738,0.176446268,0.229190286
